# clingo

13;0:04:04.13;7.0;5;2;?;0:10:00.00;0:06:58.62
13;0:04:04.13;8.0;6;2;?;0:10:00.00;0:06:58.62
13;0:04:04.13;9.0;7;2;?;0:10:00.00;0:06:58.62
13;0:04:04.16;11.625;10;4;?;0:10:00.00;0:06:58.62
13;0:04:04.16;16.125;12;6;?;0:10:00.00;0:06:58.62
13;0:04:04.16;16.125;12;5;?;0:10:00.00;0:06:58.62
14;;;;;?;0:10:00.00;0:06:58.62
15;;;;;?;0:10:00.00;0:06:58.62

# clingo (unrolled)

1;0:00:05.60;0.0;0;0;0:00:05.22;0:00:05.43;0:06:50.62
1;0:00:05.60;3.0;1;1;0:00:05.22;0:00:05.43;0:06:50.62
1;0:00:05.60;6.0;2;2;0:00:05.22;0:00:05.43;0:06:50.62
2;;;;;?;0:10:00.00;0:06:50.62
3;0:05:16.12;0.0;0;0;?;0:10:00.00;0:06:50.62
3;0:05:16.12;1.875;2;1;?;0:10:00.00;0:06:50.62
3;0:05:16.13;3.875;4;2;?;0:10:00.00;0:06:50.62
3;0:05:16.13;5.625;6;3;?;0:10:00.00;0:06:50.62
3;0:05:16.13;5.875;6;3;?;0:10:00.00;0:06:50.62
3;0:05:16.13;9.625;12;4;?;0:10:00.00;0:06:50.62
3;0:05:16.14;9.625;12;3;?;0:10:00.00;0:06:50.62
4;0:03:11.55;0.0;0;0;?;0:10:00.00;0:06:50.62
4;0:03:11.56;2.625;4;1;?;0:10:00.00;0:06:50.62
4;0:03:11.63;3.0;4;1;?;0:10:00.00;0:06:50.62
4;0:03:11.63;3.375;5;1;?;0:10:00.00;0:06:50.62
4;0:03:12.06;3.75;5;1;?;0:10:00.00;0:06:50.62
4;0:03:12.27;4.125;6;1;?;0:10:00.00;0:06:50.62
4;0:03:12.38;4.5;6;1;?;0:10:00.00;0:06:50.62
5;0:01:44.78;0.0;0;0;0:01:44.38;0:01:46.25;0:06:50.62
5;0:01:44.78;1.875;2;1;0:01:44.38;0:01:46.25;0:06:50.62
5;0:01:44.78;3.375;3;2;0:01:44.38;0:01:46.25;0:06:50.62
5;0:01:44.78;4.875;4;3;0:01:44.38;0:01:46.25;0:06:50.62
5;0:01:44.78;4.875;4;2;0:01:44.38;0:01:46.25;0:06:50.62
5;0:01:44.78;6.0;4;4;0:01:44.38;0:01:46.25;0:06:50.62
5;0:01:44.78;6.375;5;4;0:01:44.38;0:01:46.25;0:06:50.62
5;0:01:44.78;6.375;5;3;0:01:44.38;0:01:46.25;0:06:50.62
5;0:01:44.79;7.375;6;3;0:01:44.38;0:01:46.25;0:06:50.62
5;0:01:44.79;7.375;6;2;0:01:44.38;0:01:46.25;0:06:50.62
5;0:01:44.79;7.75;7;2;0:01:44.38;0:01:46.25;0:06:50.62
6;0:03:00.87;0.0;0;0;?;0:10:00.00;0:06:50.62
